Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint,P_up,CrowdRisk,HeuristicScore,AgentsScore,AgentsConf
AAPL,2025-09-16 00:00:00-04:00,237.17999267578125,241.22000122070312,236.32350158691406,238.14999389648438,61246555.0,1.7430625217242257,50.0,60.042243911408754,62.666666666666664,0.00043621072331760934,1.268689133383812,4.84857177734375,7.708142032669385,1,0.55,0.0,0.5653023811665583,,
MSFT,2025-09-16 00:00:00-04:00,516.8800048828125,517.22998046875,508.6000061035156,509.0400085449219,19508071.0,-1.226322762006704,46.34979767153879,70.34262514589315,29.30810939698485,0.004280086694464891,0.9409870180368606,7.804999215262277,14.198425095101964,1,0.55,0.0,0.5382628926697849,,
NVDA,2025-09-16 00:00:00-04:00,176.9949951171875,177.5,174.3800048828125,174.8800048828125,136363238.0,-1.6146245385021074,0.0,17.379827503202705,10.035348705415648,0.004951608626186088,0.7422553450177434,4.954775169601971,24.626346242240736,1,0.55,0.0,0.6349936551591405,,
AMZN,2025-09-16 00:00:00-04:00,232.93499755859375,235.89999389648438,232.22999572753906,234.0500030517578,36757386.0,1.1320962964584513,50.0,73.01976084542576,66.54112468326504,-0.0033963986461115203,1.0535506547106381,4.939286368233817,9.213913129926832,1,0.55,0.0,0.534929599443978,,
META,2025-09-16 00:00:00-04:00,767.1199951171875,781.260009765625,765.0999755859375,779.0,11649109.0,3.0982374452394934,50.0,65.50116450624793,79.09965891628529,0.007137171144423538,1.1531624292782043,14.136426653180804,18.702782117451623,1,0.55,0.0,0.552275034707401,,
GOOGL,2025-09-16 00:00:00-04:00,252.125,253.0399932861328,249.47000122070312,251.16000366210938,34072967.0,4.302325780338445,50.0,96.3051705796128,66.33333333333333,0.014358948150170914,0.9283546363155882,6.45664245526612,38.68977537892984,0,0.55,0.0,0.48899786117081695,,
TSLA,2025-09-16 00:00:00-04:00,414.4949951171875,423.25,411.42999267578125,421.6199951171875,102406877.0,2.8241113869250656,50.0,50.0,58.333333333333336,0.0400431172915678,1.1796325283313371,14.818564278738839,27.18446386699622,1,0.55,0.0,0.5847939440853739,,
AMD,2025-09-16 00:00:00-04:00,161.3699951171875,161.94000244140625,159.22000122070312,160.4600067138672,27069157.0,-0.4343490520823057,78.72345359509862,54.57263246027557,49.23049718817686,0.006047115156783333,0.6169698732126286,5.406430925641741,26.993378359544185,1,0.55,0.0,0.563375545998405,,
NFLX,2025-09-16 00:00:00-04:00,1205.6400146484375,1208.9998779296875,1197.280029296875,1200.510009765625,2364486.0,1.0156229136066175,44.48953880764904,13.892783980261967,55.63968483745082,-0.007047515506004176,0.8774207558569064,27.224984305245535,11.87357433776588,1,0.55,0.0,0.6373369896519581,,
AVGO,2025-09-16 00:00:00-04:00,365.42498779296875,365.69000244140625,356.989990234375,360.0,20223958.0,-1.1233476280669175,50.782219741316624,24.121113091701318,31.387905741596057,0.01439719271076909,0.7449027088337922,15.770714896065849,52.708646144444685,1,0.55,0.0,0.6270877437745963,,
JPM,2025-09-16 00:00:00-04:00,310.0,310.885009765625,307.13470458984375,309.19000244140625,5962838.0,0.0938842831505804,50.0,50.0,48.333333333333336,0.007515112821296554,0.8392616329389878,5.112162998744419,17.83119066609693,1,0.55,0.0,0.5770106860434188,,
BAC,2025-09-16 00:00:00-04:00,50.63999938964844,50.875,50.209999084472656,50.65999984741211,24508503.0,0.13836666260740316,50.0,80.4598709134278,42.33323160652069,0.0014835801048538543,0.6838511261261271,0.8001500229060596,14.135608892842356,1,0.55,0.0,0.5137215299256682,,
XOM,2025-09-16 00:00:00-04:00,112.95500183105469,115.31500244140625,112.7750015258789,114.68000030517578,13901567.0,2.2467872332262884,50.0,92.42103978207237,78.52873079388631,0.008689662196326674,0.9641436988241967,2.0689293997628346,6.3686518283131655,1,0.55,0.0,0.5195435638423738,,
CVX,2025-09-16 00:00:00-04:00,158.25,160.0955047607422,158.1199951171875,159.5399932861328,7942587.0,1.5466823667118934,68.06717301453648,83.64416519806912,62.42786465235445,0.00713677961652468,0.9867101689795176,2.866105215890067,8.09455767581797,1,0.55,0.0,0.5199483067680861,,
PFE,2025-09-16 00:00:00-04:00,23.959999084472656,24.219999313354492,23.8700008392334,23.899999618530273,56954854.0,0.12567565245984458,2.941060973534576,22.068961888513414,41.47582252623334,-0.005182317044324769,1.4128341939108602,0.43499973842075895,-1.278581738346407,1,0.55,0.0,0.6439632905898607,,
MRK,2025-09-16 00:00:00-04:00,81.01000213623047,81.47309875488281,80.53500366210938,81.08999633789062,8095937.0,,50.0,50.0,40.0,-0.00642098805091158,0.7283691187857597,0.0,0.0,1,0.55,0.0,0.5743747527341879,,
UNH,2025-09-16 00:00:00-04:00,347.5,349.0357971191406,338.32000732421875,339.7799987792969,12640246.0,-2.331201105997893,0.0,33.05902928568686,4.333333333333333,-0.004621984527312639,0.822078635715254,10.063988821847099,-17.791338908972488,1,0.55,0.0,0.610184854607112,,
HD,2025-09-16 00:00:00-04:00,423.75,424.3594970703125,420.0899963378906,421.45001220703125,3724650.0,-0.2980717923675491,1.5616804158123188,83.68858015503953,29.3314961865286,0.0029843491104884156,0.9227419034176245,5.996954163433908,11.122766511700632,1,0.55,0.0,0.5185443685416672,,
KO,2025-09-16 00:00:00-04:00,66.3499984741211,66.51000213623047,66.05500030517578,66.23999786376953,13009551.0,0.04530853301871751,3.614302785182474,1.8291945403287997,47.80552612121298,-0.004808976960432055,0.7631865612252161,0.8510704040527344,-2.422307483545738,1,0.55,0.0,0.6351194619156915,,
PEP,2025-09-16 00:00:00-04:00,140.7449951171875,141.30999755859375,139.91000366210938,140.02999877929688,9279040.0,-2.4385146169908944,0.0,25.28171055929313,10.403206555562022,-0.0022998766650382807,1.0844646981907669,3.1036710740218934,-0.7877544445402784,1,0.55,0.0,0.631056876545278,,
NKE,2025-09-16 00:00:00-04:00,72.80000305175781,73.375,72.08999633789062,72.75,6925499.0,-0.3424657534246589,0.0,31.60180594959327,16.273125593651375,-0.003765258114667813,0.6765620652196058,1.6331749709774346,4.55952011035583,1,0.55,0.0,0.6102146716617656,,
DIS,2025-09-16 00:00:00-04:00,115.44999694824219,115.8499984741211,114.70999908447266,115.2300033569336,5326678.0,-0.6295237437931367,0.0,27.330520803025905,23.36094656345114,-0.006110347940979843,0.8494389783764924,1.9964288984026228,4.971323756115198,1,0.55,0.0,0.6221444275232487,,
V,2025-09-16 00:00:00-04:00,336.239990234375,340.5400085449219,333.4700012207031,340.0299987792969,4484348.0,0.17676873477965316,12.87565733894786,37.54719190189842,53.17381836917045,-0.001259494561872332,0.884589306642324,5.274998256138393,0.022445145193561444,1,0.55,0.0,0.6025596174921936,,
MA,2025-09-16 00:00:00-04:00,578.010009765625,588.1099853515625,577.1799926757812,586.4199829101562,1975600.0,0.5935159885907648,50.0,64.86482306758461,53.64666805802238,0.0008847020334572742,0.8516416604339683,8.770002092633929,6.212098885732975,1,0.55,0.0,0.547329728134514,,
CSCO,2025-09-16 00:00:00-04:00,67.0,67.37999725341797,66.55000305175781,66.93000030517578,17946639.0,0.601234831231312,25.641038181080134,42.65240325848872,53.33335876464844,0.0002053368517715537,1.0840502928149895,1.0971423557826452,7.106045510082626,1,0.55,0.0,0.5963823594448756,,
ORCL,2025-09-16 00:00:00-04:00,314.05999755859375,319.9700012207031,302.27239990234375,306.6499938964844,51012885.0,4.952427128287251,47.993380265295485,73.69761549202438,66.52851482713135,0.061687978436355095,2.000774084385082,18.027145385742188,65.35367251257911,0,0.55,0.0,0.5244708900567435,,
CRM,2025-09-16 00:00:00-04:00,242.52000427246094,242.67999267578125,237.24000549316406,239.30999755859375,8729385.0,-1.421155473022162,0.0,18.393627161726656,17.91259050982678,-0.010338384854778693,0.8566972968977105,7.518571036202567,-16.331500512159348,1,0.55,0.0,0.636823794392311,,
INTC,2025-09-16 00:00:00-04:00,24.809999465942383,25.34000015258789,24.690000534057617,25.270000457763672,60028837.0,4.941862698621091,69.18602845939569,68.77827038941828,76.7659549284305,0.006658344662692528,0.6116418068131438,0.6671424593244281,16.43015350959893,1,0.55,0.0,0.5348760456973072,,
AMAT,2025-09-16 00:00:00-04:00,172.58999633789062,174.10000610351562,171.5800018310547,173.5399932861328,6444065.0,3.4207330929574065,70.95183756613258,83.69130094164272,75.71436229762168,0.01400735484546758,0.9033742418905228,3.9549996512276784,3.6780456678860762,1,0.55,0.0,0.5184877054831746,,
ADBE,2025-09-16 00:00:00-04:00,350.1549987792969,356.94000244140625,348.3172912597656,352.7300109863281,6683180.0,0.9646283993784754,73.90361590919738,42.48595675127674,67.31986864115937,-0.0032950513005722383,1.4310252828356107,11.034487043108259,-12.771892551787634,1,0.55,0.0,0.6035497406151417,,
QCOM,2025-09-16 00:00:00-04:00,161.80999755859375,165.0,161.5,164.13999938964844,7992367.0,1.4274223150570808,50.0,50.0,60.0,0.00486575867123149,1.1394124683822036,3.473452386112675,6.552799312927005,1,0.55,0.0,0.5829342221277811,,
TXN,2025-09-16 00:00:00-04:00,178.7899932861328,181.13999938964844,177.27999877929688,177.6300048828125,7917325.0,-0.31986087272225516,0.0,4.816019538130703,11.0,-0.008090541966157527,1.1546345821612487,4.875716073172433,-4.252931809408933,1,0.55,0.0,0.6428499753842403,,
IBM,2025-09-16 00:00:00-04:00,256.260009765625,257.92999267578125,254.41000366210938,257.5199890136719,2046708.0,0.49953123168873237,50.0,54.113009198423136,54.44440011967688,-0.0011895021696822327,0.54027434225083,4.917853219168527,3.853719662124977,1,0.55,0.0,0.56254378338308,,
MU,2025-09-16 00:00:00-04:00,158.08749389648438,159.55999755859375,157.1649932861328,158.82000732421875,16630261.0,1.0112647967217336,50.0,50.0,52.333333333333336,0.03875903360018591,0.847254917154353,5.580357142857143,55.98626006688294,1,0.55,0.0,0.5781078693510927,,
SHOP,2025-09-16 00:00:00-04:00,149.08999633789062,150.1699981689453,145.2100067138672,147.2100067138672,5449195.0,2.671224508734693,69.89059885224859,69.73823595672576,70.71482398219624,0.0015159369723705574,0.9742022194621708,4.411641802106585,30.347129176258214,1,0.55,0.0,0.5400530505849631,,
PLTR,2025-09-16 00:00:00-04:00,171.1699981689453,171.3000030517578,168.9600067138672,170.25999450683594,34359912.0,-0.6824932736000822,85.80097626736986,76.33331298828125,49.524153534331816,0.01779923644297472,0.4464488286876944,6.367710658482143,49.40224570421332,1,0.55,0.0,0.5167963276904807,,
UBER,2025-09-16 00:00:00-04:00,99.41999816894531,99.69999694824219,97.0199966430664,97.83000183105469,17218646.0,-1.0318630842806154,74.37191613024426,81.97884526471726,42.11562194817788,0.005065547763547595,1.113312990346009,2.71857179914202,22.408457039198826,1,0.55,0.0,0.5224182262398267,,
ABNB,2025-09-16 00:00:00-04:00,120.70999908447266,121.98999786376953,119.76499938964844,121.66000366210938,5070782.0,1.071696341357753,37.17580581328877,29.79215635142421,64.73600051832646,-0.003456580620632832,1.1114519963717457,2.5885707310267856,-7.039593592690663,1,0.55,0.0,0.6225410298059676,,
PYPL,2025-09-16 00:00:00-04:00,66.76000213623047,67.13999938964844,66.1050033569336,66.8499984741211,9331513.0,-0.05980104035332445,0.0,39.8532692637721,41.1707462308846,-0.004416532126652361,1.0055319373184493,1.510641370500837,-10.177158834283784,1,0.55,0.0,0.6002716042550252,,
BABA,2025-09-16 00:00:00-04:00,158.36000061035156,163.0,157.60000610351562,162.2100067138672,25914357.0,4.611124253740306,94.95346381971561,84.01615326641279,81.33472617693815,0.028774150274714638,1.1497007985263907,6.269931248256138,42.97666723550619,0,0.55,0.0,0.4938572404787693,,
T,2025-09-16 00:00:00-04:00,29.6200008392334,29.645000457763672,29.204999923706055,29.329999923706055,28043486.0,-0.8116326465846146,25.0,44.57829110346127,34.21856385722996,0.0030086280840801337,0.9656108192787424,0.5592855725969587,12.264471336377781,1,0.55,0.0,0.5902458930211748,,
VZ,2025-09-16 00:00:00-04:00,43.869998931884766,43.94499969482422,43.29999923706055,43.7400016784668,11720006.0,-0.5230828652514008,0.0,57.52225534313907,31.301604601877084,0.0019597336878384385,0.7079198364309773,0.6607142857142857,4.9652202998190065,1,0.55,0.0,0.5591726780529767,,
SPY,2025-09-16 00:00:00-04:00,661.469970703125,661.780029296875,659.2100219726562,660.0,56731221.0,0.3939743784354466,92.16985230234579,97.82363275236503,61.96596979652579,0.0034236084622873753,0.8476687721453604,4.897857666015625,10.899814975705514,1,0.55,0.0,0.5170560836967759,,
QQQ,2025-09-16 00:00:00-04:00,592.6099853515625,592.8599853515625,590.489990234375,591.1799926757812,36204005.0,0.7704666652170733,50.0,50.0,58.333333333333336,0.004220559580558181,0.7437482968674286,5.957144601004464,13.394188629270598,1,0.55,0.0,0.5750015827247654,,
IWM,2025-09-16 00:00:00-04:00,238.4499969482422,238.92999267578125,236.75999450683594,238.27999877929688,36843953.0,-0.025173097052788584,0.0,59.78103408687666,35.14175658038493,7.322503210960285e-05,1.1132273136253485,2.9235687255859375,10.32431658448083,1,0.55,0.0,0.562704674849717,,
LCID,2025-09-16 00:00:00-04:00,19.809999465942383,20.399999618530273,19.625,19.719999313354492,6873155.0,2.308688475388676,41.588768387202585,60.44303606458428,53.05009806854826,0.013887887037112034,0.5645494165807414,1.3057141985212053,-20.08073240048036,0,0.55,0.0,0.5208215528135597,,
RIVN,2025-09-16 00:00:00-04:00,13.774999618530273,14.649999618530273,13.73009967803955,14.319999694824219,62268158.0,5.294112449698951,50.0,64.33565594105627,69.92456760379679,0.0057993870470933965,1.2110527541802594,0.7728570529392788,9.181290471471094,1,0.55,0.0,0.5557237248129056,,
SOFI,2025-09-16 00:00:00-04:00,27.795000076293945,27.8799991607666,26.6299991607666,27.420000076293945,66988710.0,3.276839413309607,50.0,80.85110009447469,60.0,0.011158914677639898,0.9824816655073018,1.2027861731392997,66.78680015838587,1,0.55,0.0,0.5199844007504753,,
F,2025-09-16 00:00:00-04:00,11.6850004196167,11.779999732971191,11.510000228881836,11.609999656677246,52449840.0,-0.5993206050475486,0.0,60.71426746797956,33.46256120212092,-0.001244885993176581,1.094285056431065,0.21071413585117885,14.479262222204703,1,0.55,0.0,0.5604198196128669,,
GM,2025-09-16 00:00:00-04:00,58.97999954223633,59.38999938964844,58.165000915527344,58.459999084472656,6779818.0,-0.06837763338007896,0.0,59.82535660801354,42.18929701990316,0.0009635078859401957,0.9957849991949053,1.0911622082906962,15.927127192879077,1,0.55,0.0,0.5602938920044493,,
